X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.1785342446874,39.9135995070848,1321,226519242,,,ST PIO REGIONAL CATHOLIC SCHOOL,ST PIO CATHOLIC REGIONAL SCHOOL,1826 POLLOCK ST,19145,(215) 467-5430,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9771497893088,40.0926451156757,1322,300513270,,,DELTA SCHOOL,DELTA SCHOOL,3515 WOODHAVEN RD,19154,(215) 637-8235,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-75.2148630772767,40.0805084250001,1323,226514502,,,NORWOOD FONTBONNE ACADEMY,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,(215) 247-3811,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.208283252234,40.0621619874661,1324,226511002,,,SPRINGSIDE CHESTNUT HILL ACADEMY,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,(215) 247-4700,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.0922342808153,40.0494502046096,1325,226510912,,,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,6445 BINGHAM ST,19111,(215) 725-3383,O,ELEMENTARY/MIDDLE,PREK-12,,3,PRIVATE
-75.1481419995917,39.9426797313601,1326,226519162,,,ST PETERS SCHOOL,ST PETER'S SCHOOL,311-21 LOMBARD ST,19147,(215) 925-3963,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1648963914339,39.97315271672,1327,226518302,,,ST JOSEPH'S PREPARATORY SCHOOL,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,(215) 978-1950,O,HIGH SCHOOL,9-12,,3,PRIVATE
-75.0470018652508,40.1071188919237,1328,326510160,,,RED LION ELEMENTARY SCHOOL,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,(215) 673-2100,O,ELEMENTARY SCHOOL,K-5,,3,PRIVATE
-74.9861039836587,40.0602707641055,1329,226510232,,,ALPHA HOUSE NURSERY & KINDERGARTEN,ALPHA HOUSE NURSERY & KINDERGARTEN,9801 FRANKFORD AVE,19114,(215) 637-7700,O,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE
-74.9938359115547,40.0586430926369,1330,226510026,,,ALL SAINTS EPISCOPAL SCHOOL,ALL SAINTS EPISCOPAL SCHOOL,9601 FRANKFORD AVE,19114,(215) 637-8788,O,PRE-K/KINDERGARTEN,PREK-K,,3,PRIVATE
-75.2113542945407,39.9554768511563,1331,226512762,,,ISLAMIC EDUCATION SCHOOL,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,(215) 387 – 5230,O,ELEMENTARY SCHOOL,K-8,,3,PRIVATE
-75.0307170550868,40.0556388168935,1332,226518092,,,ST JEROME SCHOOL,ST JEROME SCHOOL,3031 STAMFORD ST,19136,(215) 624-0637,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0624480755073,40.0534000964871,1333,226515552,,,RESURRECTION REGIONAL CATHOLIC SCHOOL,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,(215) 742-1127,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0233971090183,40.0482015679232,1334,226511602,,,FATHER JUDGE HIGH SCHOOL,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,(215) 338-9494,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1283329810164,40.0443545317559,1335,226517902,,,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,ST HELENA INCARNATION SCHOOL,6101 N 5TH ST,19120,(215) 549-2947,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.2378955239187,39.9750810686428,1336,226519282,,,ST ROSE OF LIMA SCHOOL,ST ROSE OF LIMA SCHOOL,1508-46 N WANAMAKER ST,19131,(215) 473-6030,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.2345361262136,40.0644207716868,1337,226512702,,,IMMACULATE HEART OF MARY SCHOOL,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,(215) 482-2029,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1540868690401,40.061700347145,1338,226516302,,,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,(215) 424-5045,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0812831658849,40.0770883747249,1339,226517052,,,ST CECILIA SCHOOL,ST CECILIA SCHOOL,535 RHAWN ST,19111,(215) 725-8588,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1695646783187,39.9955553167013,1340,226517252,,,ST MARTIN DE PORRES SCHOOL,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,(215) 223-6872,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1853310871776,39.9812717134156,1341,326510079,,,COMMUNITY PARTNERSHIP SCHOOL,COMMUNITY PARTNERSHIP SCHOOL,3033 W GLENWOOD AVE,19121,(215) 235-0461,O,ELEMENTARY SCHOOL,PREK-5,,3,PRIVATE
-75.1643553175934,39.973706911764,1342,226511802,,,GESU SCHOOL,GESU SCHOOL,1700 W THOMPSON ST,19121,(215) 763-3660,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.1491536014636,39.9918135879359,1343,326510060,,,HOPE PARTNERSHIP FOR EDUCATION,HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,19133,(215) 232-5410,O,MIDDLE SCHOOL,5-8,,3,PRIVATE
-75.1674103771091,39.9564264556589,1344,226511652,,,FRIENDS SELECT SCHOOL,FRIENDS SELECT SCHOOL,1651 BENJAMIN FRANKLIN PKY,19103,(215) 561-5900,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.211400605039,39.9486024038561,1345,300514200,,,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,4400 BALTIMORE AVE,19104,(215) 222-2566,O,ELEMENTARY/MIDDLE/HIGH,PREK-12,,3,PRIVATE
-75.181783472823,39.9468888984396,1346,226515462,,,PHILADELPHIA SCHOOL,PHILADELPHIA SCHOOL,2501-29 LOMBARD ST,19146,(215) 545-5323,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.2274197928588,39.9351708375297,1347,300512620,,,CORNERSTONE CHRISTIAN ACADEMY,CORNERSTONE CHRISTIAN ACADEMY,1939 S 58TH ST,19143,(215) 724-6858,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-75.1414097136748,39.9738560713576,1348,226510132,,,AL-AQSA ISLAMIC SCHOOL,AL-AQSA ISLAMIC SCHOOL,1501-11 GERMANTOWN AVE,19122,(215) 765-6660,O,ELEMENTARY/MIDDLE/HIGH,K-12,,3,PRIVATE
-75.10201897353,39.9849626738383,1349,226514552,,,OUR LADY OF PORT RICHMOND SCHOOL,OUR LADY OF PORT RICHMOND SCHOOL,3233 E THOMPSON ST,19134,(215) 739-1920,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9737067535441,40.1022609914693,1350,226516202,,,ST ANSELM ELEMENTARY SCHOOL,ST ANSELM ELEMENTARY SCHOOL,12650 DUNKS FERRY RD,19154,(215) 632-1133,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.0100354694662,40.124454772126,1351,226517152,,,ST CHRISTOPHER SCHOOL,ST CHRISTOPHER SCHOOL,13305 PROCTOR RD,19116,(215) 673-5787,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.98669574197,40.0851860288387,1352,226510452,,,ARCHBISHOP RYAN HIGH SCHOOL,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,(215) 637-1800,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1743995489158,39.9193230251614,1353,226519022,,,ST MONICA SENIOR SCHOOL,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,(215) 467-5338,O,ELEMENTARY/MIDDLE,5-8,,3,ARCHDIOCESE
-75.1775358229263,40.0051788834434,1354,226514102,,,MERCY CAREER AND TECHNICAL HIGH SCHOOL,MERCY CAREER AND TECHNICAL HIGH SCHOOL,2900 W HUNTING PARK AVE,19129,(215) 226-1225,O,HIGH SCHOOL,9-12,,3,PRIVATE
-75.1534790395264,39.9722580051362,1355,226518662,,,ST MALACHY SCHOOL,ST MALACHY SCHOOL,1012 W THOMPSON ST,19122,(215) 232-0696,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.0867590072993,40.0317116603548,1356,226518752,,,ST MARTIN OF TOURS SCHOOL,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,(215) 744-0444,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-74.992932196987,40.0599100131871,1357,226518332,,,ST KATHERINE SIENA SCHOOL,ST KATHERINE OF SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,(215) 637-2181,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.2270123926421,39.9219763260105,1358,226516452,,,ST BARNABAS CATHOLIC SCHOOL,ST BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,(215) 729-3603,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
-75.0155766690051,40.04690457217,1359,226517302,,,ST DOMINIC SCHOOL,ST DOMINIC SCHOOL,8510 FRANKFORD AVE,19136,(215) 333-6703,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.2154946674252,39.9477760657548,1360,226517552,,,ST FRANCIS DESALES SCHOOL,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,(215) 387-1749,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1629278965599,39.9273915280251,1361,226518692,,,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,(215) 465-8437,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.0343240914636,40.0313555515891,1362,226518002,,,ST HUBERTS CATHOLIC HIGH SCHOOL,ST HUBERT CATHOLIC HIGH SCHOOL FOR GIRLS,7320 TORRESDALE AVE,19136,(215) 624-6840,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
-75.1265334424323,39.989969676544,1363,226519752,,,VISITATION SCHOOL,VISITATION B.V.M. SCHOOL,300-40 E LEHIGH AVE,19125,(215) 634-7280,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-75.1102740466289,39.9814962622654,1364,226514252,,,MOTHER DIVINE GRACE SCHOOL,MOTHER OF DIVINE GRACE SCHOOL,2612 E MONMOUTH ST,19134,(215) 426-7325,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
-74.9859257449239,40.0568090089146,1365,226514352,,,NAZARETH ACADEMY GRADE SCHOOL,NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE,19114,(215) 637-7777,O,ELEMENTARY/MIDDLE,1-8,,3,PRIVATE
-74.9876275205726,40.0591431066216,1366,226514402,,,NAZARETH ACADEMY HIGH SCHOOL,NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVE,19114,(215) 637-7676,O,HIGH SCHOOL,9-12,,3,PRIVATE
-75.1768104600649,39.9245565246392,1367,126515001,3776,2320,"GIRARD, STEPHEN SCHOOL",STEPHEN GIRARD SCHOOL,1800 SNYDER AVE,19145,(215) 400-8180,,ELEMENTARY SCHOOL,K-4,297,1,DISTRICT
-75.1452251593178,40.0387049134426,1368,126515001,3843,6050,"GIRLS, PHILA HIGH SCHOOL FOR",PHILADELPHIA HIGH SCHOOL FOR GIRLS,1400 W OLNEY AVE,19141,(215) 400-3700,,HIGH SCHOOL,9-12,596,1,DISTRICT
-75.2381330700406,39.9925549087404,1369,126515001,3668,4280,"GOMPERS, SAMUEL SCHOOL",SAMUEL GOMPERS SCHOOL,5701 WYNNEFIELD AVE,19131,(215) 400-7250,,ELEMENTARY/MIDDLE,K-8,238,1,DISTRICT
-75.1835417103395,40.0123518482378,1370,,,3327,LAB SCH OF COMMUNICAT'N & LANG (East Falls Campus),LABORATORY CHARTER SCHOOL OF COMMUNICATION AND LANGUAGES (EAST FALLS),3300 HENRY AVE,19129,(267) 817-4720,O,MIDDLE SCHOOL,6-8,,2,CHARTER
-75.2090744687642,39.9638796580749,1371,226518062,,,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,617 N 43RD ST,19104,(215) 222-3626,O,ELEMENTARY/MIDDLE,K-8,,3,PRIVATE
-74.9878482048175,40.0807023824213,1372,126515001,,8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,10800 HAWLEY RD,19154,(215) 400-3122,O,MIDDLE SCHOOL,6-8,,1,DISTRICT
-75.1654592460757,39.9798569328805,1373,,,3374,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1821 CECIL B MOORE AVE,19121,(215) 232-4892,O,MIDDLE SCHOOL,6-8,,2,CHARTER
-75.1580562211964,39.9514322380152,1374,126511530,,,FREIRE CHARTER SCHOOL,FREIRE CHARTER SCHOOL,1026 MARKET ST,19107,(267) 670-7499,,MIDDLE SCHOOL,5-8,,2,CHARTER
-75.2290849297002,39.9225159098781,1375,,,3810,ONE BRIGHT RAY-ELMWOOD CAMPUS,ONE BRIGHT RAY - ELMWOOD CAMPUS,6404 ELMWOOD AVE,19142,(215) 488-1177,,HIGH SCHOOL,9-12,124,1,CONTRACTED
-75.1380387298821,39.9941802907534,1376,,,8190,ONE BRIGHT RAY-FAIRHILL CAMPUS,ONE BRIGHT RAY - FAIRHILL CAMPUS,2820 N 4TH ST,19133,(215) 423-1776,,HIGH SCHOOL,9-12,262,1,CONTRACTED
-75.10560096025,40.0052800004294,1377,,,8890,ONE BRIGHT RAY-SIMPSON CAMPUS,ONE BRIGHT RAY - SIMPSON CAMPUS,1142 E ERIE AVE,19124,(215) 744-6000,,HIGH SCHOOL,9-12,261,1,CONTRACTED
-75.1520599505873,40.0308530602314,1378,126515001,3718,6300,"LOGAN, JAMES SCHOOL",JAMES LOGAN SCHOOL,1700 LINDLEY AVE,19141,(215) 400-3670,,ELEMENTARY SCHOOL,K-5,231,1,DISTRICT
-75.1668809426027,40.0553673266236,1379,300513890,,,GREEN TREE SCHOOL,GREEN TREE SCHOOL,1196 E WASHINGTON LN,19138,(215) 866-0200,O,SPECIAL CENTER,UNGRADED,,3,PRIVATE
-75.1655741992282,39.9341151329941,1380,,,3369,CHRISTOPHER COLUMBUS CHARTER SCHOOL (ANNEX),CHRISTOPHER COLUMBUS CHARTER SCHOOL (SOUTH),1242 S 13TH ST,19147,(215) 389-6000,O,MIDDLE SCHOOL,5-8,,2,CHARTER
-75.2324374017805,39.9407043300914,1381,126515001,6533,1350,"LONGSTRETH, WILLIAM C. SCHOOL",WILLIAM C. LONGSTRETH SCHOOL,5700 WILLOWS AVE,19143,(215) 400-7870,,ELEMENTARY/MIDDLE,K-8,278,1,DISTRICT
