DC_DIST,SECTOR,DISPATCH_DATE,DISPATCH_TIME,LOCATION_BLOCK,UCR_GENERAL,OBJ_ID,TEXT_GENERAL_CODE,POINT_X,POINT_Y
14,Q,2006-07-23,18:13:00,2000 BLOCK E TULPEHOCKEN ST,100,1,Homicide - Criminal,-75.15564355,40.06470192
14,F,2006-07-27,16:53:00,5600 BLOCK NELSON ST,100,1,Homicide - Criminal,-75.16061586,40.04624822
14,N,2006-09-04,00:10:00,1300 BLOCK BARRINGER ST,100,1,Homicide - Criminal,-75.16864772,40.0600756
14,F,2006-09-24,01:57:00,5600 BLOCK NELSON ST,100,1,Homicide - Criminal,-75.16061586,40.04624822
14,W,2006-10-30,15:32:00,8800 BLOCK NORWOOD AV,100,1,Homicide - Gross Negligence,-75.21121608,40.08084156
14,C,2006-11-14,17:40:00,LOWBER AV /E UPSAL ST,100,1,Homicide - Gross Negligence,-75.16810163,40.06522891
14,Z,2006-12-02,18:12:00,500 BLOCK E QUEEN LN,100,1,Homicide - Criminal,-75.16096529,40.03855865
14,A,2006-12-14,10:45:00,7100 BLOCK OGONTZ ST,100,1,Homicide - Criminal,-75.15182287,40.06223635
14,A,2006-12-14,14:21:00,1900 BLOCK RENOVO ST,100,1,Homicide - Criminal,-75.14982438,40.06828592
14,X,2006-12-30,19:47:00,6400 BLOCK CHEW AV,100,1,Homicide - Gross Negligence,-75.17587465,40.05223772
15,P,2006-01-02,23:58:00,7400 BLOCK FRANKFORD AV,100,1,Homicide - Criminal,-75.0368522,40.03819369
15,U,2006-01-03,16:07:00,7100 BLOCK GILLESPIE ST,100,1,Homicide - Criminal,-75.03995309,40.03138364
15,N,2006-01-09,06:31:00,COTTMAN AV /HAWTHORNE ST,100,1,Homicide - Gross Negligence,-75.04902986,40.04142206
15,H,2006-01-23,14:41:00,4900 BLOCK CHARLES ST,100,1,Homicide - Criminal ,-75.07581363,40.01718547
15,J,2006-01-31,21:52:00,5900 BLOCK CHARLES ST,100,1,Homicide - Criminal ,-75.06627271,40.0234162
15,D,2006-02-11,16:07:00,4600 BLOCK GRISCOM ST,100,1,Homicide - Criminal ,-75.0860863,40.01551636
15,H,2006-02-24,22:36:00,5200 BLOCK DUFFIELD ST,100,1,Homicide - Criminal,-75.07510197,40.02147195
15,D,2006-02-25,02:26:00,1300 BLOCK UNITY ST,100,1,Homicide - Criminal,-75.09121334,40.01462209
15,U,2006-03-01,00:43:00,4200 BLOCK PRINCETON AV,100,1,Homicide - Criminal,-75.04280949,40.03257067
15,J,2006-03-11,02:34:00,GLENLOCH ST /HARBISON AV,100,1,Homicide - Gross Negligence,-75.06726789,40.01604616
15,K,2006-03-16,20:36:00,5300 BLOCK BUSTLETON AV,100,1,Homicide - Justifiable ,-75.07685532,40.02412607
15,G,2006-04-21,03:53:00,5200 BLOCK OXFORD AVE,100,1,Homicide - Justifiable ,-75.08502744,40.02708685
15,G,2006-04-21,03:53:00,5200 BLOCK OXFORD AVE,100,1,Homicide - Justifiable ,-75.08502744,40.02708685
15,C,2006-04-21,16:10:00,CHURCH ST /TACKAWANNA ST,100,1,Homicide - Criminal,-75.08480537,40.00948568
15,E,2006-05-08,22:14:00,CASTOR/ARROTT    ST,100,1,Homicide - Criminal,-75.09377225,40.0225173
15,K,2006-05-31,08:59:00,BUSTLETON AV /DEVEREAUX AV,100,1,Homicide - Gross Negligence,-75.07224605,40.03276749
15,E,2006-06-19,12:17:00,4500 BLOCK RAMONA AV,100,1,Homicide - Gross Negligence,-75.10174444,40.01881731
15,H,2006-06-27,00:20:00,4800 BLOCK MULBERRY ST,100,1,Homicide - Criminal,-75.07776587,40.0162393
15,D,2006-06-27,18:38:00,4400 BLOCK E WINGOHOCKING ST,100,1,Homicide - Criminal,-75.09113338,40.0155799
15,B,2006-07-11,09:27:00,4600 BLOCK TORRESDALE AV,100,1,Homicide - Gross Negligence,-75.07847276,40.01070724
15,U,2006-07-15,04:47:00,4300 BLOCK WELLINGTON ST,100,1,Homicide - Gross Negligence,-75.04033204,40.03345445
15,T,2006-07-24,08:38:00,5000 BLOCK PRINCETON AVE,100,1,Homicide - Criminal,-75.03540071,40.02394889
15,H,2006-07-28,04:20:00,5000 BLOCK JACKSON ST,100,1,Homicide - Criminal,-75.07319281,40.01558316
15,D,2006-07-28,20:00:00,4600 BLOCK LEIPER ST,100,1,Homicide - Criminal,-75.08764501,40.01662461
15,P,2006-08-13,12:31:00,CHIPPENDALE AV /FRANKFORD AV,100,1,Homicide - Gross Negligence,-75.03442608,40.03912979
15,H,2006-09-13,02:25:00,4900 BLOCK JACKSON ST,100,1,Homicide - Criminal,-75.07481793,40.01523
15,D,2006-09-22,23:55:00,1500 BLOCK WOMRATH ST,100,1,Homicide - Criminal,-75.09135487,40.00991584
15,K,2006-10-03,21:23:00,1500 BLOCK ROSALIE ST,100,1,Homicide - Criminal,-75.08038503,40.03003051
15,F,2006-10-22,02:12:00,2000 BLOCK MARGARET ST,100,1,Homicide - Criminal,-75.07706135,40.01111978
15,F,2006-10-30,11:27:00,2000 BLOCK ORTHODOX   ST,100,1,Homicide - Criminal,-75.07932088,40.01052183
15,N,2006-11-22,18:43:00,3500 BLOCK COTTMAN AV,100,1,Homicide - Gross Negligence,-75.04251762,40.03766888
15,B,2006-11-24,23:42:00,2600 BLOCK LEFEVRE ST,100,1,Homicide - Criminal,-75.07313835,40.00142466
15,I,2006-11-25,02:47:00,6100 BLOCK HEGERMAN ST,100,1,Homicide - Criminal,-75.05635183,40.01767999
15,K,2006-11-27,21:00:00,6200 BLOCK FRANKFORD AV,100,1,Homicide - Gross Negligence,-75.06083277,40.02777345
15,K,2006-12-23,23:44:00,2100 BLOCK STEVENS ST,100,1,Homicide - Criminal,-75.0708646,40.0312901
15,F,2006-12-29,21:13:00,4600 BLOCK FRANKFORD AVE,100,1,Homicide - Criminal,-75.08534048,40.01491885
16,L,2006-01-18,02:42:00,800 BLOCK BROOKLYN ST,100,1,Homicide - Criminal,-75.20839724,39.96771923
16,L,2006-01-18,03:09:00,800 BLOCK BROOKLYN ST,100,1,Homicide - Criminal,-75.20839724,39.96771923
16,L,2006-01-28,17:39:00,4200 BLOCK PENNSGROVE ST,100,1,Homicide - Criminal,-75.20838719,39.9705382
16,R,2006-02-04,20:46:00,5000 BLOCK ARCH ST,100,1,Homicide - Criminal,-75.22156042,39.96116225
16,R,2006-03-05,16:09:00,4900 BLOCK PARRISH ST,100,1,Homicide - Criminal,-75.21869369,39.96723366
16,L,2006-03-11,05:19:00,900 BLOCK N 41ST ST,100,1,Homicide - Criminal,-75.20593783,39.97048927
16,J,2006-04-02,16:11:00,4000 BLOCK LANCASTER AVE,100,1,Homicide - Criminal,-75.20303849,39.96352591
16,M,2006-05-05,17:57:00,4200 BLOCK VIOLA ST,100,1,Homicide - Criminal,-75.21272337,39.97664077
16,O,2006-05-07,00:58:00,4000 BLOCK W GIRARD AVE,100,1,Homicide - Criminal,-75.20444167,39.97407044
16,R,2006-05-20,08:31:00,N 49TH ST /MARKET ST,100,1,Homicide - Gross Negligence,-75.21917872,39.9592974
16,R,2006-07-09,04:34:00,200 BLOCK N CREIGHTON ST,100,1,Homicide - Criminal,-75.22380597,39.96307222
16,S,2006-07-19,04:40:00,600 BLOCK N CREIGHTON ST,100,1,Homicide - Criminal,-75.22512112,39.97069854
16,C,2006-07-26,13:58:00,N 33RD ST /WALLACE ST,100,1,Homicide - Criminal,-75.19037569,39.96540007
16,R,2006-07-28,18:34:00,0 BLOCK N 52ND ST,100,1,Homicide - Criminal,-75.22462074,39.96096309
16,R,2006-07-31,22:56:00,5000 BLOCK PARRISH ST,100,1,Homicide - Criminal,-75.22050498,39.96705154
16,R,2006-08-23,01:23:00,700 BLOCK N 49TH ST,100,1,Homicide - Criminal,-75.21838414,39.964764
16,R,2006-09-03,02:55:00,300 BLOCK N 52ND ST,100,1,Homicide - Criminal,-75.22456355,39.96505343
16,R,2006-09-17,01:22:00,4900 BLOCK OGDEN   ST,100,1,Homicide - Criminal,-75.22031778,39.9676772
16,C,2006-10-05,10:43:00,N 33RD ST /HAVERFORD AVE,100,1,Homicide - Criminal,-75.19016753,39.96422504
16,B,2006-11-06,18:18:00,3400 BLOCK HAMILTON ST,100,1,Homicide - Justifiable ,-75.19205794,39.9620501
16,C,2006-12-05,11:34:00,3200 BLOCK MANTUA AVE,100,1,Homicide - Criminal,-75.18915102,39.96593384
17,F,2006-02-02,14:59:00,2000 BLOCK ANNIN ST,100,1,Homicide - Criminal,-75.17727098,39.93781846
17,E,2006-02-03,16:57:00,1300 BLOCK S GARNET ST,100,1,Homicide - Criminal ,-75.17643208,39.93408129
17,N,2006-02-21,01:57:00,1300 BLOCK S 33RD ST ST,100,1,Homicide - Criminal,-75.19817941,39.93686396
17,I,2006-03-11,10:55:00,1600 BLOCK S 23RD ST,100,1,Homicide - Justifiable ,-75.18321782,39.93152707
17,I,2006-04-15,23:30:00,1500 BLOCK S 24TH ST,100,1,Homicide - Criminal,-75.18449538,39.93336037
17,A,2006-04-30,15:03:00,1500 BLOCK S 19TH ST,100,1,Homicide - Criminal,-75.17604685,39.93259168
17,F,2006-05-11,09:43:00,1100 BLOCK S 18TH ST,100,1,Homicide - Criminal,-75.1733178,39.93773387
17,D,2006-05-12,17:35:00,S 22ND ST /WATKINS ST,100,1,Homicide - Criminal,-75.18177704,39.93052592
17,P,2006-06-05,10:39:00,2900 BLOCK ELLSWORTH ST,100,1,Homicide - Gross Negligence,-75.19058649,39.94033854
17,E,2006-06-12,19:35:00,1900 BLOCK GERRITT ST,100,1,Homicide - Criminal,-75.17700849,39.93372689
17,D,2006-07-01,22:53:00,2200 BLOCK WATKINS ST,100,1,Homicide - Criminal,-75.18293838,39.93072008
17,J,2006-07-26,22:49:00,1800 BLOCK FEDERAL ST,100,1,Homicide - Criminal,-75.17435121,39.93693399
17,C,2006-09-22,19:08:00,900 BLOCK S 16TH ST,100,1,Homicide - Criminal ,-75.16965558,39.93970814
17,E,2006-10-05,16:12:00,1800 BLOCK WHARTON ST,100,1,Homicide - Criminal,-75.17399809,39.93493591
17,Q,2006-10-29,09:26:00,2600 BLOCK LATONA ST,100,1,Homicide - Criminal,-75.18828508,39.93760342
17,B,2006-12-25,22:15:00,1400 BLOCK S 21ST ST,100,1,Homicide - Criminal,-75.17933399,39.93396502
